k method num_movies num_users base test MAE RMSE Recall time matched_only
20 1 1682 1000 u4.base u4.test 0.809264 1.01951 0.99865 2.381 1
5 2 1682 1000 u4.base u4.test 0.84974 1.0744 0.99865 2.296 1
5 2 1682 1000 u4.base u4.test 0.84974 1.0744 0.99865 2.297 1
5 2 1682 1000 u4.base u4.test 0.84974 1.0744 0.99865 2.326 1
10 2 1682 1000 u4.base u4.test 0.815894 1.02996 0.99865 2.281 1
10 2 1682 1000 u4.base u4.test 0.815894 1.02996 0.99865 2.294 1
10 2 1682 1000 u4.base u4.test 0.815894 1.02996 0.99865 2.306 1
20 2 1682 1000 u4.base u4.test 0.799796 1.00871 0.99865 2.337 1
20 2 1682 1000 u4.base u4.test 0.799796 1.00871 0.99865 2.339 1
20 2 1682 1000 u4.base u4.test 0.799796 1.00871 0.99865 2.352 1
5 3 1682 1000 u4.base u4.test 0.858743 1.08557 0.99865 2.328 1
5 3 1682 1000 u4.base u4.test 0.858743 1.08557 0.99865 2.331 1
5 3 1682 1000 u4.base u4.test 0.858743 1.08557 0.99865 2.333 1
10 3 1682 1000 u4.base u4.test 0.823815 1.03937 0.99865 2.334 1
10 3 1682 1000 u4.base u4.test 0.823815 1.03937 0.99865 2.346 1
10 3 1682 1000 u4.base u4.test 0.823815 1.03937 0.99865 2.347 1
20 3 1682 1000 u4.base u4.test 0.805879 1.01795 0.99865 2.368 1
20 3 1682 1000 u4.base u4.test 0.805879 1.01795 0.99865 2.374 1
20 3 1682 1000 u4.base u4.test 0.805879 1.01795 0.99865 2.378 1
5 0 1682 1000 u5.base u5.test 0.859814 1.08758 0.9982 2.369 1
5 0 1682 1000 u5.base u5.test 0.859814 1.08758 0.9982 2.369 1
5 0 1682 1000 u5.base u5.test 0.859814 1.08758 0.9982 2.370 1
10 0 1682 1000 u5.base u5.test 0.829712 1.0473 0.9982 2.434 1
10 0 1682 1000 u5.base u5.test 0.829712 1.0473 0.9982 2.447 1
10 0 1682 1000 u5.base u5.test 0.829712 1.0473 0.9982 2.450 1
20 0 1682 1000 u5.base u5.test 0.812966 1.02616 0.9982 2.479 1
20 0 1682 1000 u5.base u5.test 0.812966 1.02616 0.9982 2.481 1
20 0 1682 1000 u5.base u5.test 0.812966 1.02616 0.9982 2.483 1
5 1 1682 1000 u5.base u5.test 0.867438 1.09406 0.9982 2.449 1
5 1 1682 1000 u5.base u5.test 0.867438 1.09406 0.9982 2.451 1
5 1 1682 1000 u5.base u5.test 0.867438 1.09406 0.9982 2.460 1
10 1 1682 1000 u5.base u5.test 0.831395 1.04751 0.9982 2.379 1
10 1 1682 1000 u5.base u5.test 0.831395 1.04751 0.9982 2.382 1
10 1 1682 1000 u5.base u5.test 0.831395 1.04751 0.9982 2.383 1
20 1 1682 1000 u5.base u5.test 0.814471 1.02515 0.9982 2.384 1
20 1 1682 1000 u5.base u5.test 0.814471 1.02515 0.9982 2.404 1
20 1 1682 1000 u5.base u5.test 0.814471 1.02515 0.9982 2.406 1
5 2 1682 1000 u5.base u5.test 0.858111 1.08502 0.9982 2.394 1
5 2 1682 1000 u5.base u5.test 0.858111 1.08502 0.9982 2.397 1
5 2 1682 1000 u5.base u5.test 0.858111 1.08502 0.9982 2.403 1
10 2 1682 1000 u5.base u5.test 0.824212 1.03828 0.9982 2.530 1
10 2 1682 1000 u5.base u5.test 0.824212 1.03828 0.9982 2.539 1
10 2 1682 1000 u5.base u5.test 0.824212 1.03828 0.9982 2.543 1
20 2 1682 1000 u5.base u5.test 0.8072 1.01621 0.9982 2.460 1
20 2 1682 1000 u5.base u5.test 0.8072 1.01621 0.9982 2.469 1
20 2 1682 1000 u5.base u5.test 0.8072 1.01621 0.9982 2.473 1
5 3 1682 1000 u5.base u5.test 0.863922 1.09167 0.9982 2.351 1
5 3 1682 1000 u5.base u5.test 0.863922 1.09167 0.9982 2.353 1
5 3 1682 1000 u5.base u5.test 0.863922 1.09167 0.9982 2.356 1
10 3 1682 1000 u5.base u5.test 0.831971 1.04938 0.9982 2.317 1
10 3 1682 1000 u5.base u5.test 0.831971 1.04938 0.9982 2.320 1
10 3 1682 1000 u5.base u5.test 0.831971 1.04938 0.9982 2.320 1
20 3 1682 1000 u5.base u5.test 0.813156 1.02648 0.9982 2.316 1
20 3 1682 1000 u5.base u5.test 0.813156 1.02648 0.9982 2.341 1
20 3 1682 1000 u5.base u5.test 0.813156 1.02648 0.9982 2.341 1
