k method num_movies num_users base test MAE RMSE Recall time matched_only
5 3 1682 1000 u4.base u4.test 1.04835 1.39443 0.1208 1.093 0
5 3 1682 1000 u4.base u4.test 1.04835 1.39443 0.1208 1.094 0
10 3 1682 1000 u4.base u4.test 1.03716 1.37149 0.1878 1.079 0
10 3 1682 1000 u4.base u4.test 1.03716 1.37149 0.1878 1.080 0
10 3 1682 1000 u4.base u4.test 1.03716 1.37149 0.1878 1.092 0
20 3 1682 1000 u4.base u4.test 1.00772 1.31885 0.27955 1.092 0
20 3 1682 1000 u4.base u4.test 1.00772 1.31885 0.27955 1.105 0
20 3 1682 1000 u4.base u4.test 1.00772 1.31885 0.27955 1.128 0
5 0 1682 1000 u5.base u5.test 1.03243 1.36109 0.13965 1.051 0
5 0 1682 1000 u5.base u5.test 1.03243 1.36109 0.13965 1.061 0
5 0 1682 1000 u5.base u5.test 1.03243 1.36109 0.13965 1.079 0
10 0 1682 1000 u5.base u5.test 0.998914 1.31176 0.20565 1.078 0
10 0 1682 1000 u5.base u5.test 0.998914 1.31176 0.20565 1.078 0
10 0 1682 1000 u5.base u5.test 0.998914 1.31176 0.20565 1.093 0
20 0 1682 1000 u5.base u5.test 0.982654 1.28311 0.29605 1.099 0
20 0 1682 1000 u5.base u5.test 0.982654 1.28311 0.29605 1.102 0
20 0 1682 1000 u5.base u5.test 0.982654 1.28311 0.29605 1.102 0
5 1 1682 1000 u5.base u5.test 1.02819 1.36361 0.11455 1.196 0
5 1 1682 1000 u5.base u5.test 1.02819 1.36361 0.11455 1.201 0
5 1 1682 1000 u5.base u5.test 1.02819 1.36361 0.11455 1.207 0
10 1 1682 1000 u5.base u5.test 1.00667 1.32595 0.17645 1.060 0
10 1 1682 1000 u5.base u5.test 1.00667 1.32595 0.17645 1.068 0
10 1 1682 1000 u5.base u5.test 1.00667 1.32595 0.17645 1.088 0
20 1 1682 1000 u5.base u5.test 0.991933 1.29838 0.2592 1.057 0
20 1 1682 1000 u5.base u5.test 0.991933 1.29838 0.2592 1.094 0
20 1 1682 1000 u5.base u5.test 0.991933 1.29838 0.2592 1.104 0
5 2 1682 1000 u5.base u5.test 1.0562 1.39745 0.1088 1.062 0
5 2 1682 1000 u5.base u5.test 1.0562 1.39745 0.1088 1.070 0
5 2 1682 1000 u5.base u5.test 1.0562 1.39745 0.1088 1.070 0
10 2 1682 1000 u5.base u5.test 1.02492 1.34141 0.1774 1.061 0
10 2 1682 1000 u5.base u5.test 1.02492 1.34141 0.1774 1.063 0
10 2 1682 1000 u5.base u5.test 1.02492 1.34141 0.1774 1.071 0
20 2 1682 1000 u5.base u5.test 0.985402 1.29883 0.26085 1.072 0
20 2 1682 1000 u5.base u5.test 0.985402 1.29883 0.26085 1.082 0
20 2 1682 1000 u5.base u5.test 0.985402 1.29883 0.26085 1.084 0
5 3 1682 1000 u5.base u5.test 1.06012 1.39045 0.12775 1.120 0
5 3 1682 1000 u5.base u5.test 1.06012 1.39045 0.12775 1.128 0
5 3 1682 1000 u5.base u5.test 1.06012 1.39045 0.12775 1.132 0
10 3 1682 1000 u5.base u5.test 1.02351 1.35595 0.1999 1.097 0
10 3 1682 1000 u5.base u5.test 1.02351 1.35595 0.1999 1.103 0
10 3 1682 1000 u5.base u5.test 1.02351 1.35595 0.1999 1.103 0
20 3 1682 1000 u5.base u5.test 0.994562 1.30113 0.2926 1.115 0
20 3 1682 1000 u5.base u5.test 0.994562 1.30113 0.2926 1.126 0
20 3 1682 1000 u5.base u5.test 0.994562 1.30113 0.2926 1.127 0
