k method num_movies num_users base test MAE RMSE Recall time matched_only
5 0 1682 1000 u5.base u5.test 0.709086 1.01304 0.83835 0.540 0
10 0 1682 1000 u5.base u5.test 0.75605 1.0208 0.91695 0.513 0
10 0 1682 1000 u5.base u5.test 0.75605 1.0208 0.91695 0.493 0
10 0 1682 1000 u5.base u5.test 0.75605 1.0208 0.91695 0.472 0
20 0 1682 1000 u5.base u5.test 0.779033 1.01928 0.9604 0.555 0
20 0 1682 1000 u5.base u5.test 0.779033 1.01928 0.9604 0.569 0
20 0 1682 1000 u5.base u5.test 0.779033 1.01928 0.9604 0.543 0
5 1 1682 1000 u5.base u5.test 0.185323 0.547217 0.2058 0.438 0
5 1 1682 1000 u5.base u5.test 0.185323 0.547217 0.2058 0.466 0
5 1 1682 1000 u5.base u5.test 0.185323 0.547217 0.2058 0.440 0
10 1 1682 1000 u5.base u5.test 0.2738 0.658098 0.301 0.444 0
10 1 1682 1000 u5.base u5.test 0.2738 0.658098 0.301 0.505 0
10 1 1682 1000 u5.base u5.test 0.2738 0.658098 0.301 0.449 0
20 1 1682 1000 u5.base u5.test 0.361518 0.751553 0.3989 0.439 0
20 1 1682 1000 u5.base u5.test 0.361518 0.751553 0.3989 0.504 0
20 1 1682 1000 u5.base u5.test 0.361518 0.751553 0.3989 0.470 0
5 2 1682 1000 u5.base u5.test 0.223372 0.605358 0.2283 0.475 0
5 2 1682 1000 u5.base u5.test 0.223372 0.605358 0.2283 0.514 0
5 2 1682 1000 u5.base u5.test 0.223372 0.605358 0.2283 0.544 0
10 2 1682 1000 u5.base u5.test 0.317597 0.71369 0.32785 0.530 0
10 2 1682 1000 u5.base u5.test 0.317597 0.71369 0.32785 0.480 0
10 2 1682 1000 u5.base u5.test 0.317597 0.71369 0.32785 0.457 0
20 2 1682 1000 u5.base u5.test 0.404412 0.800774 0.42405 0.499 0
20 2 1682 1000 u5.base u5.test 0.404412 0.800774 0.42405 0.459 0
20 2 1682 1000 u5.base u5.test 0.404412 0.800774 0.42405 0.611 0
5 3 1682 1000 u5.base u5.test 0.681306 0.997356 0.8039 0.478 0
5 3 1682 1000 u5.base u5.test 0.681306 0.997356 0.8039 0.516 0
5 3 1682 1000 u5.base u5.test 0.681306 0.997356 0.8039 0.498 0
10 3 1682 1000 u5.base u5.test 0.737016 1.0108 0.89475 0.528 0
10 3 1682 1000 u5.base u5.test 0.737016 1.0108 0.89475 0.489 0
10 3 1682 1000 u5.base u5.test 0.737016 1.0108 0.89475 0.512 0
20 3 1682 1000 u5.base u5.test 0.767119 1.01121 0.94565 0.585 0
20 3 1682 1000 u5.base u5.test 0.767119 1.01121 0.94565 0.553 0
20 3 1682 1000 u5.base u5.test 0.767119 1.01121 0.94565 0.568 0
