k method num_movies num_users base test MAE RMSE Recall time matched_only
10 3 1682 1000 u4.base u4.test 0.810287 1.01945 0.99865 5.993 1
10 3 1682 1000 u4.base u4.test 0.810287 1.01945 0.99865 6.388 1
20 3 1682 1000 u4.base u4.test 0.799401 1.00651 0.99865 5.932 1
20 3 1682 1000 u4.base u4.test 0.799401 1.00651 0.99865 6.047 1
20 3 1682 1000 u4.base u4.test 0.799401 1.00651 0.99865 6.722 1
5 0 1682 1000 u5.base u5.test 0.842032 1.06267 0.9982 5.711 1
5 0 1682 1000 u5.base u5.test 0.842032 1.06267 0.9982 6.461 1
5 0 1682 1000 u5.base u5.test 0.842032 1.06267 0.9982 6.514 1
10 0 1682 1000 u5.base u5.test 0.8178 1.0291 0.9982 6.119 1
10 0 1682 1000 u5.base u5.test 0.8178 1.0291 0.9982 6.607 1
10 0 1682 1000 u5.base u5.test 0.8178 1.0291 0.9982 6.828 1
20 0 1682 1000 u5.base u5.test 0.805252 1.01235 0.9982 5.864 1
20 0 1682 1000 u5.base u5.test 0.805252 1.01235 0.9982 6.164 1
20 0 1682 1000 u5.base u5.test 0.805252 1.01235 0.9982 7.450 1
5 1 1682 1000 u5.base u5.test 0.880381 1.10015 0.9982 5.764 1
5 1 1682 1000 u5.base u5.test 0.880381 1.10015 0.9982 5.961 1
5 1 1682 1000 u5.base u5.test 0.880381 1.10015 0.9982 6.008 1
10 1 1682 1000 u5.base u5.test 0.83966 1.04648 0.9982 5.733 1
10 1 1682 1000 u5.base u5.test 0.83966 1.04648 0.9982 5.753 1
10 1 1682 1000 u5.base u5.test 0.83966 1.04648 0.9982 6.072 1
20 1 1682 1000 u5.base u5.test 0.824609 1.02783 0.9982 5.796 1
20 1 1682 1000 u5.base u5.test 0.824609 1.02783 0.9982 5.856 1
20 1 1682 1000 u5.base u5.test 0.824609 1.02783 0.9982 6.054 1
5 2 1682 1000 u5.base u5.test 0.903082 1.12051 0.9982 5.719 1
5 2 1682 1000 u5.base u5.test 0.903082 1.12051 0.9982 5.789 1
5 2 1682 1000 u5.base u5.test 0.903082 1.12051 0.9982 6.082 1
10 2 1682 1000 u5.base u5.test 0.858338 1.06032 0.9982 5.823 1
10 2 1682 1000 u5.base u5.test 0.858338 1.06032 0.9982 5.887 1
10 2 1682 1000 u5.base u5.test 0.858338 1.06032 0.9982 6.099 1
20 2 1682 1000 u5.base u5.test 0.83596 1.0347 0.9982 5.752 1
20 2 1682 1000 u5.base u5.test 0.83596 1.0347 0.9982 6.056 1
20 2 1682 1000 u5.base u5.test 0.83596 1.0347 0.9982 6.137 1
5 3 1682 1000 u5.base u5.test 0.84069 1.06109 0.9982 5.891 1
5 3 1682 1000 u5.base u5.test 0.84069 1.06109 0.9982 6.140 1
5 3 1682 1000 u5.base u5.test 0.84069 1.06109 0.9982 6.165 1
10 3 1682 1000 u5.base u5.test 0.815907 1.02743 0.9982 5.839 1
10 3 1682 1000 u5.base u5.test 0.815907 1.02743 0.9982 6.235 1
10 3 1682 1000 u5.base u5.test 0.815907 1.02743 0.9982 7.188 1
20 3 1682 1000 u5.base u5.test 0.804621 1.01065 0.9982 5.897 1
20 3 1682 1000 u5.base u5.test 0.804621 1.01065 0.9982 6.157 1
20 3 1682 1000 u5.base u5.test 0.804621 1.01065 0.9982 6.374 1
