k method num_movies num_users base test MAE RMSE Recall time matched_only
40 1 1682 1000 u4.base u4.test 0.936397 1.20448 0.6343 12.515 0
10 4 1682 1000 u4.base u4.test 0.785475 1.03103 0.89985 12.645 0
20 3 1682 1000 u4.base u4.test 0.833157 1.06553 0.94165 12.678 0
40 0 1682 1000 u4.base u4.test 0.813063 1.03202 0.9791 12.736 0
20 4 1682 1000 u4.base u4.test 0.769042 0.998531 0.94055 12.891 0
320 1 1682 1000 u4.base u4.test 0.858025 1.08897 0.92255 12.947 0
160 2 1682 1000 u4.base u4.test 0.900624 1.13502 0.87625 13.077 0
80 3 1682 1000 u4.base u4.test 0.803859 1.016 0.98675 13.218 0
320 0 1682 1000 u4.base u4.test 0.804033 1.00992 0.9975 13.954 0
80 4 1682 1000 u4.base u4.test 0.757394 0.973725 0.97895 14.029 0
5 3 1682 1000 u4.base u4.test 0.891386 1.163 0.7758 14.864 0
40 4 1682 1000 u4.base u4.test 0.759889 0.981892 0.9652 14.938 0
5 1 1682 1000 u4.base u4.test 0.970249 1.28863 0.2638 16.803 0
320 3 1682 1000 u4.base u4.test 0.801598 1.0079 0.9969 17.015 0
320 4 1682 1000 u4.base u4.test 0.761895 0.971553 0.99155 17.207 0
10 1 1682 1000 u4.base u4.test 0.967043 1.2643 0.37955 17.406 0
20 0 1682 1000 u4.base u4.test 0.831629 1.06129 0.95665 17.480 0
5 4 1682 1000 u4.base u4.test 0.801274 1.06975 0.82255 17.524 0
160 4 1682 1000 u4.base u4.test 0.755647 0.967464 0.98685 17.690 0
320 2 1682 1000 u4.base u4.test 0.863115 1.08579 0.9455 18.002 0
160 3 1682 1000 u4.base u4.test 0.799628 1.00824 0.9939 18.033 0
80 1 1682 1000 u4.base u4.test 0.908061 1.16512 0.7418 18.350 0
20 2 1682 1000 u4.base u4.test 0.995643 1.26949 0.5888 18.452 0
10 1 1682 1000 u5.base u5.test 0.956506 1.2591 0.3397 11.269 0
160 2 1682 1000 u5.base u5.test 0.91035 1.15215 0.85715 11.976 0
80 1 1682 1000 u5.base u5.test 0.918942 1.18196 0.7158 12.044 0
5 3 1682 1000 u5.base u5.test 0.899411 1.1704 0.77125 12.446 0
10 3 1682 1000 u5.base u5.test 0.866501 1.11627 0.87635 12.726 0
10 2 1682 1000 u5.base u5.test 1.0103 1.30408 0.41205 12.859 0
5 4 1682 1000 u5.base u5.test 0.794806 1.05897 0.8168 13.024 0
10 4 1682 1000 u5.base u5.test 0.785219 1.02862 0.8922 13.157 0
20 3 1682 1000 u5.base u5.test 0.83716 1.07053 0.9387 13.242 0
5 1 1682 1000 u5.base u5.test 0.945057 1.25686 0.23585 13.433 0
5 2 1682 1000 u5.base u5.test 1.02688 1.33372 0.294 13.480 0
40 4 1682 1000 u5.base u5.test 0.763645 0.986462 0.96365 13.981 0
80 2 1682 1000 u5.base u5.test 0.937854 1.18963 0.7555 14.085 0
40 0 1682 1000 u5.base u5.test 0.816252 1.03219 0.97935 14.127 0
10 0 1682 1000 u5.base u5.test 0.859254 1.10683 0.9031 14.501 0
80 0 1682 1000 u5.base u5.test 0.807994 1.01935 0.98915 14.807 0
320 0 1682 1000 u5.base u5.test 0.809085 1.01596 0.99655 14.920 0
40 1 1682 1000 u5.base u5.test 0.935258 1.21043 0.58705 14.958 0
20 2 1682 1000 u5.base u5.test 0.985301 1.26298 0.52955 15.048 0
5 0 1682 1000 u5.base u5.test 0.895749 1.16182 0.813 15.055 0
320 1 1682 1000 u5.base u5.test 0.868315 1.10215 0.9183 15.095 0
160 4 1682 1000 u5.base u5.test 0.762509 0.973522 0.98325 15.131 0
320 3 1682 1000 u5.base u5.test 0.806033 1.01279 0.99535 15.523 0
20 0 1682 1000 u5.base u5.test 0.835028 1.06577 0.95425 15.669 0
20 1 1682 1000 u5.base u5.test 0.948022 1.2376 0.46005 15.718 0
160 0 1682 1000 u5.base u5.test 0.805999 1.01532 0.99425 15.943 0
160 1 1682 1000 u5.base u5.test 0.899718 1.15321 0.82995 16.160 0
80 3 1682 1000 u5.base u5.test 0.806053 1.01972 0.9854 16.181 0
320 2 1682 1000 u5.base u5.test 0.869582 1.09487 0.9358 16.244 0
80 4 1682 1000 u5.base u5.test 0.759506 0.974529 0.9759 16.372 0
160 3 1682 1000 u5.base u5.test 0.804917 1.01459 0.99275 16.632 0
40 3 1682 1000 u5.base u5.test 0.816579 1.03438 0.96945 16.742 0
40 2 1682 1000 u5.base u5.test 0.961607 1.22874 0.64405 17.002 0
320 4 1682 1000 u5.base u5.test 0.76711 0.976887 0.98835 17.073 0
20 4 1682 1000 u5.base u5.test 0.773366 1.00465 0.9364 17.222 0
